iter	Passed	Remaining
0	1	196
1	3	182
2	5	167
3	6	153
4	7	151
5	9	156
6	11	153
7	13	152
8	14	145
9	15	140
10	16	136
11	18	134
12	19	131
13	20	127
14	21	122
15	22	119
16	23	116
17	25	115
18	26	111
19	27	109
20	28	108
21	29	106
22	30	103
23	31	100
24	32	98
25	33	95
26	34	92
27	34	89
28	35	87
29	36	84
30	36	82
31	37	80
32	38	78
33	39	76
34	40	74
35	41	72
36	41	71
37	42	69
38	43	67
39	43	65
40	44	64
41	44	62
42	45	60
43	46	58
44	46	57
45	47	55
46	48	54
47	49	53
48	49	51
49	50	50
50	51	49
51	52	48
52	52	46
53	53	45
54	53	44
55	54	43
56	55	41
57	56	40
58	56	39
59	57	38
60	58	37
61	58	36
62	59	34
63	60	33
64	60	32
65	61	31
66	62	30
67	62	29
68	63	28
69	64	27
70	64	26
71	65	25
72	66	24
73	66	23
74	67	22
75	68	21
76	69	20
77	69	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	14
83	73	14
84	74	13
85	74	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	78	6
92	79	5
93	80	5
94	80	4
95	81	3
96	81	2
97	82	1
98	82	0
99	83	0
